electronic battery lock,11/1/2018,2/1/2019,92,1.84,0.92,1.84,4.6,4.6,4.6,0.92,1.84,27.6,0.92,0.92,2.76,1.84,0.92,4.6,2.76,0.92,0.92,4.6,0.92,1.84,2.76,1.84,1.84,1.84,4.6,1.84,0.92,0.92,2.76
IOT module,11/1/2018,5/1/2019,181,3.62,1.81,3.62,9.05,9.05,9.05,1.81,3.62,54.3,1.81,1.81,5.43,3.62,1.81,9.05,5.43,1.81,1.81,9.05,1.81,3.62,5.43,3.62,3.62,3.62,9.05,3.62,1.81,1.81,5.43
bay wheels,7/1/2017,3/1/2018,243,4.86,2.43,4.86,12.15,12.15,12.15,2.43,4.86,72.9,2.43,2.43,7.29,4.86,2.43,12.15,7.29,2.43,2.43,12.15,2.43,4.86,7.29,4.86,4.86,4.86,12.15,4.86,2.43,2.43,7.29
Switches,3/1/2017,2/1/2018,337,6.74,3.37,6.74,16.85,16.85,16.85,3.37,6.74,101.1,3.37,3.37,10.11,6.74,3.37,16.85,10.11,3.37,3.37,16.85,3.37,6.74,10.11,6.74,6.74,6.74,16.85,6.74,3.37,3.37,10.11
Extension Switches,8/1/2017,1/1/2018,153,3.06,1.53,3.06,7.65,7.65,7.65,1.53,3.06,45.9,1.53,1.53,4.59,3.06,1.53,7.65,4.59,1.53,1.53,7.65,1.53,3.06,4.59,3.06,3.06,3.06,7.65,3.06,1.53,1.53,4.59
Room Director,3/1/2017,2/1/2018,337,6.74,3.37,6.74,16.85,16.85,16.85,3.37,6.74,101.1,3.37,3.37,10.11,6.74,3.37,16.85,10.11,3.37,3.37,16.85,3.37,6.74,10.11,6.74,6.74,6.74,16.85,6.74,3.37,3.37,10.11
Wall Plates,3/17/2017,5/1/2018,410,8.2,4.1,8.2,20.5,20.5,20.5,4.1,8.2,123,4.1,4.1,12.3,8.2,4.1,20.5,12.3,4.1,4.1,20.5,4.1,8.2,12.3,8.2,8.2,8.2,20.5,8.2,4.1,4.1,12.3
Base,10/17/2015,3/1/2017,501,10.02,5.01,10.02,25.05,25.05,25.05,5.01,10.02,150.3,5.01,5.01,15.03,10.02,5.01,25.05,15.03,5.01,5.01,25.05,5.01,10.02,15.03,10.02,10.02,10.02,25.05,10.02,5.01,5.01,15.03
Glyph 2,6/1/2015,3/1/2017,639,12.78,6.39,12.78,31.95,31.95,31.95,6.39,12.78,191.7,6.39,6.39,19.17,12.78,6.39,31.95,19.17,6.39,6.39,31.95,6.39,12.78,19.17,12.78,12.78,12.78,31.95,12.78,6.39,6.39,19.17
Glyph,12/1/2016,3/14/2024,2660,53.2,26.6,53.2,133,133,133,26.6,53.2,798,26.6,26.6,79.8,53.2,26.6,133,79.8,26.6,26.6,133,26.6,53.2,79.8,53.2,53.2,53.2,133,53.2,26.6,26.6,79.8
BFD,6/1/2014,2/1/2015,245,4.9,2.45,4.9,12.25,12.25,12.25,2.45,4.9,73.5,2.45,2.45,7.35,4.9,2.45,12.25,7.35,2.45,2.45,12.25,2.45,4.9,7.35,4.9,4.9,4.9,12.25,4.9,2.45,2.45,7.35
Strato,8/1/2012,9/1/2013,396,7.92,3.96,7.92,19.8,19.8,19.8,3.96,7.92,118.8,3.96,3.96,11.88,7.92,3.96,19.8,11.88,3.96,3.96,19.8,3.96,7.92,11.88,7.92,7.92,7.92,19.8,7.92,3.96,3.96,11.88
Cinema One,8/1/2010,7/1/2011,334,6.68,3.34,6.68,16.7,16.7,16.7,3.34,6.68,100.2,3.34,3.34,10.02,6.68,3.34,16.7,10.02,3.34,3.34,16.7,3.34,6.68,10.02,6.68,6.68,6.68,16.7,6.68,3.34,3.34,10.02
M700,8/2/2010,7/2/2011,334,6.68,3.34,6.68,16.7,16.7,16.7,3.34,6.68,100.2,3.34,3.34,10.02,6.68,3.34,16.7,10.02,3.34,3.34,16.7,3.34,6.68,10.02,6.68,6.68,6.68,16.7,6.68,3.34,3.34,10.02
DV700,6/1/2010,12/1/2010,183,3.66,1.83,3.66,9.15,9.15,9.15,1.83,3.66,54.9,1.83,1.83,5.49,3.66,1.83,9.15,5.49,1.83,1.83,9.15,1.83,3.66,5.49,3.66,3.66,3.66,9.15,3.66,1.83,1.83,5.49
Disc Cartridges,4/20/2009,8/1/2009,103,2.06,1.03,2.06,5.15,5.15,5.15,1.03,2.06,30.9,1.03,1.03,3.09,2.06,1.03,5.15,3.09,1.03,1.03,5.15,1.03,2.06,3.09,2.06,2.06,2.06,5.15,2.06,1.03,1.03,3.09
K-Remote,6/1/2010,8/1/2010,61,1.22,0.61,1.22,3.05,3.05,3.05,0.61,1.22,18.3,0.61,0.61,1.83,1.22,0.61,3.05,1.83,0.61,0.61,3.05,0.61,1.22,1.83,1.22,1.22,1.22,3.05,1.22,0.61,0.61,1.83
Weemote,4/1/2010,7/1/2010,91,1.82,0.91,1.82,4.55,4.55,4.55,0.91,1.82,27.3,0.91,0.91,2.73,1.82,0.91,4.55,2.73,0.91,0.91,4.55,0.91,1.82,2.73,1.82,1.82,1.82,4.55,1.82,0.91,0.91,2.73
M500,3/1/2010,5/1/2010,61,1.22,0.61,1.22,3.05,3.05,3.05,0.61,1.22,18.3,0.61,0.61,1.83,1.22,0.61,3.05,1.83,0.61,0.61,3.05,0.61,1.22,1.83,1.22,1.22,1.22,3.05,1.22,0.61,0.61,1.83
M300,3/2/2010,5/2/2010,61,1.22,0.61,1.22,3.05,3.05,3.05,0.61,1.22,18.3,0.61,0.61,1.83,1.22,0.61,3.05,1.83,0.61,0.61,3.05,0.61,1.22,1.83,1.22,1.22,1.22,3.05,1.22,0.61,0.61,1.83
KSERVER-1500,9/1/2010,6/1/2011,273,5.46,2.73,5.46,13.65,13.65,13.65,2.73,5.46,81.9,2.73,2.73,8.19,5.46,2.73,13.65,8.19,2.73,2.73,13.65,2.73,5.46,8.19,5.46,5.46,5.46,13.65,5.46,2.73,2.73,8.19
KVAULT-10,6/1/2009,4/1/2010,304,6.08,3.04,6.08,15.2,15.2,15.2,3.04,6.08,91.2,3.04,3.04,9.12,6.08,3.04,15.2,9.12,3.04,3.04,15.2,3.04,6.08,9.12,6.08,6.08,6.08,15.2,6.08,3.04,3.04,9.12
Jewel,1/1/2009,6/1/2009,151,3.02,1.51,3.02,7.55,7.55,7.55,1.51,3.02,45.3,1.51,1.51,4.53,3.02,1.51,7.55,4.53,1.51,1.51,7.55,1.51,3.02,4.53,3.02,3.02,3.02,7.55,3.02,1.51,1.51,4.53
KSYSTEM-120,6/1/2008,3/1/2009,273,5.46,2.73,5.46,13.65,13.65,13.65,2.73,5.46,81.9,2.73,2.73,8.19,5.46,2.73,13.65,8.19,2.73,2.73,13.65,2.73,5.46,8.19,5.46,5.46,5.46,13.65,5.46,2.73,2.73,8.19
KSERVER-5000,5/1/2008,2/1/2009,276,5.52,2.76,5.52,13.8,13.8,13.8,2.76,5.52,82.8,2.76,2.76,8.28,5.52,2.76,13.8,8.28,2.76,2.76,13.8,2.76,5.52,8.28,5.52,5.52,5.52,13.8,5.52,2.76,2.76,8.28
Speed Reader,5/1/2008,8/1/2008,92,1.84,0.92,1.84,4.6,4.6,4.6,0.92,1.84,27.6,0.92,0.92,2.76,1.84,0.92,4.6,2.76,0.92,0.92,4.6,0.92,1.84,2.76,1.84,1.84,1.84,4.6,1.84,0.92,0.92,2.76
KSERVER-1500,3/1/2008,1/1/2009,306,6.12,3.06,6.12,15.3,15.3,15.3,3.06,6.12,91.8,3.06,3.06,9.18,6.12,3.06,15.3,9.18,3.06,3.06,15.3,3.06,6.12,9.18,6.12,6.12,6.12,15.3,6.12,3.06,3.06,9.18
KPLAYER-300,3/2/2008,1/2/2009,306,6.12,3.06,6.12,15.3,15.3,15.3,3.06,6.12,91.8,3.06,3.06,9.18,6.12,3.06,15.3,9.18,3.06,3.06,15.3,3.06,6.12,9.18,6.12,6.12,6.12,15.3,6.12,3.06,3.06,9.18
KPLAYER-6000,3/1/2008,12/1/2008,275,5.5,2.75,5.5,13.75,13.75,13.75,2.75,5.5,82.5,2.75,2.75,8.25,5.5,2.75,13.75,8.25,2.75,2.75,13.75,2.75,5.5,8.25,5.5,5.5,5.5,13.75,5.5,2.75,2.75,8.25
KPLAYER-5000,3/2/2008,12/2/2008,275,5.5,2.75,5.5,13.75,13.75,13.75,2.75,5.5,82.5,2.75,2.75,8.25,5.5,2.75,13.75,8.25,2.75,2.75,13.75,2.75,5.5,8.25,5.5,5.5,5.5,13.75,5.5,2.75,2.75,8.25
KPLAYER-2500,3/3/2008,12/3/2008,275,5.5,2.75,5.5,13.75,13.75,13.75,2.75,5.5,82.5,2.75,2.75,8.25,5.5,2.75,13.75,8.25,2.75,2.75,13.75,2.75,5.5,8.25,5.5,5.5,5.5,13.75,5.5,2.75,2.75,8.25
KSERVER-2500,10/1/2007,4/1/2008,183,3.66,1.83,3.66,9.15,9.15,9.15,1.83,3.66,54.9,1.83,1.83,5.49,3.66,1.83,9.15,5.49,1.83,1.83,9.15,1.83,3.66,5.49,3.66,3.66,3.66,9.15,3.66,1.83,1.83,5.49
Mbox 2 Micro,5/1/2007,10/1/2007,153,3.06,1.53,3.06,7.65,7.65,7.65,1.53,3.06,45.9,1.53,1.53,4.59,3.06,1.53,7.65,4.59,1.53,1.53,7.65,1.53,3.06,4.59,3.06,3.06,3.06,7.65,3.06,1.53,1.53,4.59
003 Rack,2/1/2007,5/1/2007,89,1.78,0.89,1.78,4.45,4.45,4.45,0.89,1.78,26.7,0.89,0.89,2.67,1.78,0.89,4.45,2.67,0.89,0.89,4.45,0.89,1.78,2.67,1.78,1.78,1.78,4.45,1.78,0.89,0.89,2.67
Mbox 2 Mini,6/1/2006,11/1/2006,153,3.06,1.53,3.06,7.65,7.65,7.65,1.53,3.06,45.9,1.53,1.53,4.59,3.06,1.53,7.65,4.59,1.53,1.53,7.65,1.53,3.06,4.59,3.06,3.06,3.06,7.65,3.06,1.53,1.53,4.59
Mbox 2 Pro,6/1/2006,2/1/2007,245,4.9,2.45,4.9,12.25,12.25,12.25,2.45,4.9,73.5,2.45,2.45,7.35,4.9,2.45,12.25,7.35,2.45,2.45,12.25,2.45,4.9,7.35,4.9,4.9,4.9,12.25,4.9,2.45,2.45,7.35
003,8/1/2006,7/1/2007,334,6.68,3.34,6.68,16.7,16.7,16.7,3.34,6.68,100.2,3.34,3.34,10.02,6.68,3.34,16.7,10.02,3.34,3.34,16.7,3.34,6.68,10.02,6.68,6.68,6.68,16.7,6.68,3.34,3.34,10.02
Control 24,9/1/2005,11/1/2005,61,1.22,0.61,1.22,3.05,3.05,3.05,0.61,1.22,18.3,0.61,0.61,1.83,1.22,0.61,3.05,1.83,0.61,0.61,3.05,0.61,1.22,1.83,1.22,1.22,1.22,3.05,1.22,0.61,0.61,1.83
Mbox 2,2/1/2005,7/1/2005,150,3,1.5,3,7.5,7.5,7.5,1.5,3,45,1.5,1.5,4.5,3,1.5,7.5,4.5,1.5,1.5,7.5,1.5,3,4.5,3,3,3,7.5,3,1.5,1.5,4.5
Profile,2/1/2005,7/1/2005,150,3,1.5,3,7.5,7.5,7.5,1.5,3,45,1.5,1.5,4.5,3,1.5,7.5,4.5,1.5,1.5,7.5,1.5,3,4.5,3,3,3,7.5,3,1.5,1.5,4.5
D-Show,8/1/2004,3/1/2005,212,4.24,2.12,4.24,10.6,10.6,10.6,2.12,4.24,63.6,2.12,2.12,6.36,4.24,2.12,10.6,6.36,2.12,2.12,10.6,2.12,4.24,6.36,4.24,4.24,4.24,10.6,4.24,2.12,2.12,6.36
D-Control,4/1/2004,9/1/2004,153,3.06,1.53,3.06,7.65,7.65,7.65,1.53,3.06,45.9,1.53,1.53,4.59,3.06,1.53,7.65,4.59,1.53,1.53,7.65,1.53,3.06,4.59,3.06,3.06,3.06,7.65,3.06,1.53,1.53,4.59
D-Command,6/1/2003,4/1/2004,305,6.1,3.05,6.1,15.25,15.25,15.25,3.05,6.1,91.5,3.05,3.05,9.15,6.1,3.05,15.25,9.15,3.05,3.05,15.25,3.05,6.1,9.15,6.1,6.1,6.1,15.25,6.1,3.05,3.05,9.15
Pro Control Jr.,5/1/2003,10/1/2003,153,3.06,1.53,3.06,7.65,7.65,7.65,1.53,3.06,45.9,1.53,1.53,4.59,3.06,1.53,7.65,4.59,1.53,1.53,7.65,1.53,3.06,4.59,3.06,3.06,3.06,7.65,3.06,1.53,1.53,4.59
002 Rack,3/1/2003,10/1/2003,214,4.28,2.14,4.28,10.7,10.7,10.7,2.14,4.28,64.2,2.14,2.14,6.42,4.28,2.14,10.7,6.42,2.14,2.14,10.7,2.14,4.28,6.42,4.28,4.28,4.28,10.7,4.28,2.14,2.14,6.42
Mbox,9/1/2002,12/1/2002,91,1.82,0.91,1.82,4.55,4.55,4.55,0.91,1.82,27.3,0.91,0.91,2.73,1.82,0.91,4.55,2.73,0.91,0.91,4.55,0.91,1.82,2.73,1.82,1.82,1.82,4.55,1.82,0.91,0.91,2.73
Xbox,6/1/2002,8/1/2002,61,1.22,0.61,1.22,3.05,3.05,3.05,0.61,1.22,18.3,0.61,0.61,1.83,1.22,0.61,3.05,1.83,0.61,0.61,3.05,0.61,1.22,1.83,1.22,1.22,1.22,3.05,1.22,0.61,0.61,1.83
Receiver 5,1/1/2002,5/1/2002,120,2.4,1.2,2.4,6,6,6,1.2,2.4,36,1.2,1.2,3.6,2.4,1.2,6,3.6,1.2,1.2,6,1.2,2.4,3.6,2.4,2.4,2.4,6,2.4,1.2,1.2,3.6
Receiver 4,10/1/2001,12/1/2001,61,1.22,0.61,1.22,3.05,3.05,3.05,0.61,1.22,18.3,0.61,0.61,1.83,1.22,0.61,3.05,1.83,0.61,0.61,3.05,0.61,1.22,1.83,1.22,1.22,1.22,3.05,1.22,0.61,0.61,1.83
Receiver 3,9/1/2001,11/1/2001,61,1.22,0.61,1.22,3.05,3.05,3.05,0.61,1.22,18.3,0.61,0.61,1.83,1.22,0.61,3.05,1.83,0.61,0.61,3.05,0.61,1.22,1.83,1.22,1.22,1.22,3.05,1.22,0.61,0.61,1.83
Receiver 2,7/1/2001,1/1/2002,184,3.68,1.84,3.68,9.2,9.2,9.2,1.84,3.68,55.2,1.84,1.84,5.52,3.68,1.84,9.2,5.52,1.84,1.84,9.2,1.84,3.68,5.52,3.68,3.68,3.68,9.2,3.68,1.84,1.84,5.52
Mercury LC,6/1/2001,8/1/2001,61,1.22,0.61,1.22,3.05,3.05,3.05,0.61,1.22,18.3,0.61,0.61,1.83,1.22,0.61,3.05,1.83,0.61,0.61,3.05,0.61,1.22,1.83,1.22,1.22,1.22,3.05,1.22,0.61,0.61,1.83
usb box,5/1/2001,8/1/2001,92,1.84,0.92,1.84,4.6,4.6,4.6,0.92,1.84,27.6,0.92,0.92,2.76,1.84,0.92,4.6,2.76,0.92,0.92,4.6,0.92,1.84,2.76,1.84,1.84,1.84,4.6,1.84,0.92,0.92,2.76
Remotes,4/1/2001,11/1/2001,214,4.28,2.14,4.28,10.7,10.7,10.7,2.14,4.28,64.2,2.14,2.14,6.42,4.28,2.14,10.7,6.42,2.14,2.14,10.7,2.14,4.28,6.42,4.28,4.28,4.28,10.7,4.28,2.14,2.14,6.42
Receiver 1,12/1/2000,1/1/2001,31,0.62,0.31,0.62,1.55,1.55,1.55,0.31,0.62,9.3,0.31,0.31,0.93,0.62,0.31,1.55,0.93,0.31,0.31,1.55,0.31,0.62,0.93,0.62,0.62,0.62,1.55,0.62,0.31,0.31,0.93
Node,11/1/2000,4/1/2001,151,3.02,1.51,3.02,7.55,7.55,7.55,1.51,3.02,45.3,1.51,1.51,4.53,3.02,1.51,7.55,4.53,1.51,1.51,7.55,1.51,3.02,4.53,3.02,3.02,3.02,7.55,3.02,1.51,1.51,4.53
Media Nodes,7/1/2000,11/1/2000,123,2.46,1.23,2.46,6.15,6.15,6.15,1.23,2.46,36.9,1.23,1.23,3.69,2.46,1.23,6.15,3.69,1.23,1.23,6.15,1.23,2.46,3.69,2.46,2.46,2.46,6.15,2.46,1.23,1.23,3.69
MP6000 MP3 Player,5/1/2000,7/1/2000,61,1.22,0.61,1.22,3.05,3.05,3.05,0.61,1.22,18.3,0.61,0.61,1.83,1.22,0.61,3.05,1.83,0.61,0.61,3.05,0.61,1.22,1.83,1.22,1.22,1.22,3.05,1.22,0.61,0.61,1.83
Keyboard,4/1/2000,6/1/2000,61,1.22,0.61,1.22,3.05,3.05,3.05,0.61,1.22,18.3,0.61,0.61,1.83,1.22,0.61,3.05,1.83,0.61,0.61,3.05,0.61,1.22,1.83,1.22,1.22,1.22,3.05,1.22,0.61,0.61,1.83
LapTV,4/1/2000,5/1/2000,30,0.6,0.3,0.6,1.5,1.5,1.5,0.3,0.6,9,0.3,0.3,0.9,0.6,0.3,1.5,0.9,0.3,0.3,1.5,0.3,0.6,0.9,0.6,0.6,0.6,1.5,0.6,0.3,0.3,0.9
Remote,2/1/2000,4/1/2000,60,1.2,0.6,1.2,3,3,3,0.6,1.2,18,0.6,0.6,1.8,1.2,0.6,3,1.8,0.6,0.6,3,0.6,1.2,1.8,1.2,1.2,1.2,3,1.2,0.6,0.6,1.8
Netscreen-500,8/1/1998,9/1/1998,31,0.62,0.31,0.62,1.55,1.55,1.55,0.31,0.62,9.3,0.31,0.31,0.93,0.62,0.31,1.55,0.93,0.31,0.31,1.55,0.31,0.62,0.93,0.62,0.62,0.62,1.55,0.62,0.31,0.31,0.93
320 540,6/1/1998,7/1/1998,30,0.6,0.3,0.6,1.5,1.5,1.5,0.3,0.6,9,0.3,0.3,0.9,0.6,0.3,1.5,0.9,0.3,0.3,1.5,0.3,0.6,0.9,0.6,0.6,0.6,1.5,0.6,0.3,0.3,0.9
HP Jornada,3/1/1998,5/1/1998,61,1.22,0.61,1.22,3.05,3.05,3.05,0.61,1.22,18.3,0.61,0.61,1.83,1.22,0.61,3.05,1.83,0.61,0.61,3.05,0.61,1.22,1.83,1.22,1.22,1.22,3.05,1.22,0.61,0.61,1.83
DVDO Player,10/1/1997,11/1/1997,31,0.62,0.31,0.62,1.55,1.55,1.55,0.31,0.62,9.3,0.31,0.31,0.93,0.62,0.31,1.55,0.93,0.31,0.31,1.55,0.31,0.62,0.93,0.62,0.62,0.62,1.55,0.62,0.31,0.31,0.93
Vadem Clio,7/1/1997,12/1/1997,153,3.06,1.53,3.06,7.65,7.65,7.65,1.53,3.06,45.9,1.53,1.53,4.59,3.06,1.53,7.65,4.59,1.53,1.53,7.65,1.53,3.06,4.59,3.06,3.06,3.06,7.65,3.06,1.53,1.53,4.59
KaVo Dental Unit 2,7/1/1997,8/1/1997,31,0.62,0.31,0.62,1.55,1.55,1.55,0.31,0.62,9.3,0.31,0.31,0.93,0.62,0.31,1.55,0.93,0.31,0.31,1.55,0.31,0.62,0.93,0.62,0.62,0.62,1.55,0.62,0.31,0.31,0.93
Acer Phone,7/1/1997,10/1/1997,92,1.84,0.92,1.84,4.6,4.6,4.6,0.92,1.84,27.6,0.92,0.92,2.76,1.84,0.92,4.6,2.76,0.92,0.92,4.6,0.92,1.84,2.76,1.84,1.84,1.84,4.6,1.84,0.92,0.92,2.76
KaVo Dental Unit 1,6/1/1997,8/1/1997,61,1.22,0.61,1.22,3.05,3.05,3.05,0.61,1.22,18.3,0.61,0.61,1.83,1.22,0.61,3.05,1.83,0.61,0.61,3.05,0.61,1.22,1.83,1.22,1.22,1.22,3.05,1.22,0.61,0.61,1.83
Acer subwoofer,2/1/1997,10/1/1997,242,4.84,2.42,4.84,12.1,12.1,12.1,2.42,4.84,72.6,2.42,2.42,7.26,4.84,2.42,12.1,7.26,2.42,2.42,12.1,2.42,4.84,7.26,4.84,4.84,4.84,12.1,4.84,2.42,2.42,7.26
Newscorp set-top box,2/1/1996,3/1/1996,29,0.58,0.29,0.58,1.45,1.45,1.45,0.29,0.58,8.7,0.29,0.29,0.87,0.58,0.29,1.45,0.87,0.29,0.29,1.45,0.29,0.58,0.87,0.58,0.58,0.58,1.45,0.58,0.29,0.29,0.87
Packard Bell Convertible,2/1/1996,5/1/1996,90,1.8,0.9,1.8,4.5,4.5,4.5,0.9,1.8,27,0.9,0.9,2.7,1.8,0.9,4.5,2.7,0.9,0.9,4.5,0.9,1.8,2.7,1.8,1.8,1.8,4.5,1.8,0.9,0.9,2.7
Acer Aspire,5/1/1995,1/1/1996,245,4.9,2.45,4.9,12.25,12.25,12.25,2.45,4.9,73.5,2.45,2.45,7.35,4.9,2.45,12.25,7.35,2.45,2.45,12.25,2.45,4.9,7.35,4.9,4.9,4.9,12.25,4.9,2.45,2.45,7.35
Fissler BBQ,1/1/1995,3/1/1995,59,1.18,0.59,1.18,2.95,2.95,2.95,0.59,1.18,17.7,0.59,0.59,1.77,1.18,0.59,2.95,1.77,0.59,0.59,2.95,0.59,1.18,1.77,1.18,1.18,1.18,2.95,1.18,0.59,0.59,1.77
Sunbeam window toaster,4/1/1992,3/1/1993,334,6.68,3.34,6.68,16.7,16.7,16.7,3.34,6.68,100.2,3.34,3.34,10.02,6.68,3.34,16.7,10.02,3.34,3.34,16.7,3.34,6.68,10.02,6.68,6.68,6.68,16.7,6.68,3.34,3.34,10.02
Frantic Frames,3/1/1992,1/1/1993,306,6.12,3.06,6.12,15.3,15.3,15.3,3.06,6.12,91.8,3.06,3.06,9.18,6.12,3.06,15.3,9.18,3.06,3.06,15.3,3.06,6.12,9.18,6.12,6.12,6.12,15.3,6.12,3.06,3.06,9.18
Indy,4/1/1991,10/1/1992,549,10.98,5.49,10.98,27.45,27.45,27.45,5.49,10.98,164.7,5.49,5.49,16.47,10.98,5.49,27.45,16.47,5.49,5.49,27.45,5.49,10.98,16.47,10.98,10.98,10.98,27.45,10.98,5.49,5.49,16.47
Indigo II,11/1/1989,6/1/1991,577,11.54,5.77,11.54,28.85,28.85,28.85,5.77,11.54,173.1,5.77,5.77,17.31,11.54,5.77,28.85,17.31,5.77,5.77,28.85,5.77,11.54,17.31,11.54,11.54,11.54,28.85,11.54,5.77,5.77,17.31
Indigo,2/1/1990,10/1/1990,242,4.84,2.42,4.84,12.1,12.1,12.1,2.42,4.84,72.6,2.42,2.42,7.26,4.84,2.42,12.1,7.26,2.42,2.42,12.1,2.42,4.84,7.26,4.84,4.84,4.84,12.1,4.84,2.42,2.42,7.26
Iris File,7/1/1989,11/1/1991,853,17.06,8.53,17.06,42.65,42.65,42.65,8.53,17.06,255.9,8.53,8.53,25.59,17.06,8.53,42.65,25.59,8.53,8.53,42.65,8.53,17.06,25.59,17.06,17.06,17.06,42.65,17.06,8.53,8.53,25.59
Personal IRIS,1/1/1987,6/1/1989,882,17.64,8.82,17.64,44.1,44.1,44.1,8.82,17.64,264.6,8.82,8.82,26.46,17.64,8.82,44.1,26.46,8.82,8.82,44.1,8.82,17.64,26.46,17.64,17.64,17.64,44.1,17.64,8.82,8.82,26.46
EPT-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
